SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
ssa,_,"-""-",-,-,12,5,0,0,0,0,10,0,0,0,522100000,1127088,817
ssa,_,"-""-",-,-,13,4,4,3,0,0,28,0,0,4,1057800000,1127088,1637
ssa,3,t2,1,9,0,4,1,3,0,0,12,0,0,1,307700000,1050560,1079
ssa,_,"-""-",-,-,1,3,2,2,0,0,9,0,0,2,276400000,1050560,966
ssa,_,"-""-",-,-,2,4,3,2,0,0,20,0,0,3,437000000,1050560,1396
ssa,_,"-""-",-,-,3,4,2,2,0,0,12,0,0,2,450300000,1050560,1139
ssa,_,"-""-",-,-,4,4,2,2,0,0,12,0,0,2,415100000,1050560,1134
ssa,_,"-""-",-,-,5,4,2,2,0,0,12,0,0,2,359600000,1050560,1135
ssa,_,"-""-",-,-,6,4,4,0,0,0,20,0,0,4,457800000,1050560,1309
ssa,_,"-""-",-,-,7,4,0,0,0,0,16,0,0,0,444100000,1050560,917
ssa,_,"-""-",-,-,8,4,0,0,0,0,8,0,0,0,222100000,1050560,830
ssa,4,t3,1,10,0,5,2,2,0,0,15,0,0,2,309700000,1336592,1089
ssa,_,"-""-",-,-,1,5,2,2,0,0,15,0,0,2,362500000,1336592,1208
ssa,_,"-""-",-,-,2,3,0,0,0,0,6,0,0,0,230300000,1336592,863
ssa,_,"-""-",-,-,3,4,3,1,0,0,20,0,0,3,425700000,1336592,1318
ssa,_,"-""-",-,-,4,4,2,2,0,0,12,0,0,2,334700000,1336592,1180
ssa,_,"-""-",-,-,5,3,2,2,0,0,9,0,0,2,341200000,1336592,1140
ssa,_,"-""-",-,-,6,3,4,2,0,0,15,0,0,4,371500000,1336592,1305
ssa,_,"-""-",-,-,7,3,4,2,0,0,15,0,0,4,647400000,1336592,1254
ssa,_,"-""-",-,-,8,3,4,2,0,0,15,0,0,4,339400000,1336592,1254
ssa,_,"-""-",-,-,9,3,5,2,0,0,21,0,0,5,435700000,1336592,1500
ssa,5,t4,1,6,0,4,2,2,0,0,12,0,0,2,332800000,1228400,1144
